접점코드,판매점명,실판매POS,통신사,담당영업과장
S텔20183,준)승승장구,승승장구텔레콤2호점,후불)텔링크SK,황병준
S텔20181,준)승승장구,승승장구텔레콤4호점,후불)텔링크SK,황병준
S텔20180,준)승승장구,상승모바일,후불)텔링크SK,황병준
S텔26143,준)승승장구,승승장구1호점,후불)텔링크SK,황병준
S텔26138,준)승승장구,승승장구18호점,후불)텔링크SK,황병준
S텔26153,준)승승장구,승승장구텔레콤19호점,후불)텔링크SK,황병준
S텔22479,구)시네마통신2호점,시네마통신2호점,후불)텔링크SK,서승구
S텔20861,우)시아통신,시아통신,후불)텔링크SK,김선우
S텔25055,열)시원모바일(동탄),시원모바일,후불)텔링크SK,박종열
S텔25053,열)시원모바일(동탄),더킹,후불)텔링크SK,박종열
S텔24437,수)시월모바일(공주),시월모바일,후불)텔링크SK,김성수
S텔20152,수)시은모바일(화성),시은모바일,후불)텔링크SK,김성수
S텔26459,열)시즌통신(구미),시즌통신,후불)텔링크SK,박종열
S텔21817,웅)시티텔레콤,시티텔레콤,후불)텔링크SK,정선웅
S텔21965,수)시현통신(삼양),시현통신,후불)텔링크SK,김성수
S텔22027,수)신광통신(장현),신광통신,후불)텔링크SK,김성수
S텔23562,영)신기통신(대구),신기통신,후불)텔링크SK,원세영
S텔23212,영)신도림도매폰진접,신도림도매폰진접,후불)텔링크SK,원세영
S텔18299,영)신동텔레콤(대구),신동텔레콤,후불)텔링크SK,원세영
S텔20323,구)신사임당(경주),신사임당 구)모바일플랜,후불)텔링크SK,서승구
S텔22380,열)신성(난곡),신성난곡점,후불)텔링크SK,박종열
S텔21599,열)신성남정보통신,신성남정보통신,후불)텔링크SK,박종열
